Perundangan1,Perundangan2
Peraturan_Pemerintah_No.99_Tahun_2013,Undang-Undang_No._24_Tahun_2011
Peraturan_Pemerintah_No._45_Tahun_1995,Undang-Undang_No.8_Tahun_1995
Peraturan_Pemerintah_No.25_Tahun_2020,Undang-Undang_No.4_Tahun_2016
Peraturan_Pemerintah_No.53_Tahun_2018,Undang-Undang_No._24_Tahun_2011
PP_55_2015,Undang-Undang_No._24_Tahun_2011
Peraturan_Pemerintah_No.73_Tahun_1992,Undang-Undang_No.40_Tahun_2014
Peraturan_Pemerintah_No.73_Tahun_2016,Undang-Undang_No._24_Tahun_2011
PERPRES_49_2011,Peraturan_Pemerintah_No.75_Tahun_1992
Peraturan_Presiden_No.44_Tahun_2008,Peraturan_Pemerintah_No.73_Tahun_2016
Inpres Nomor 2 Tahun 2021,Peraturan_Pemerintah_No.99_Tahun_2013
Inpres Nomor 2 Tahun 2021,Peraturan_Pemerintah_No.73_Tahun_2016
Peraturan_Presiden_No.44_Tahun_2008,Undang-Undang_No._24_Tahun_2011
Inpres Nomor 2 Tahun 2021,Undang-Undang_No._24_Tahun_2011
PERMEN_KEU_119PMK082016_2016,Undang-Undang_No.11_Tahun_2016
KEPMEN_KEU_511KMK062002_2002,Peraturan_Pemerintah_No.77_Tahun_1992
KEPMEN_DAGRI_29_2002,Peraturan_Pemerintah_No.105_Tahun_2000
KEPMEN_KEU_509KMK062002_2002,Peraturan_Pemerintah_No.77_Tahun_1992
PERMEN_DAGRI_52_2012,Peraturan_Pemerintah_No.63_Tahun_2019
PERMEN_DAGRI_52_2012,Peraturan_Pemerintah_No.1_Tahun_2008
PERMEN_DAGRI_52_2012,Peraturan_Pemerintah_No.8_Tahun_2007
Peraturan_Menteri_Keuangan_nomor_183_PMK.010_2022_tahun_2022,Peraturan_Pemerintah_No.63_Tahun_2019
Peraturan_Menteri_Keuangan_nomor_183_PMK.010_2022_tahun_2022,Peraturan_Pemerintah_No.1_Tahun_2008
Peraturan_Menteri_Keuangan_nomor_183_PMK.010_2022_tahun_2022,Peraturan_Pemerintah_No.8_Tahun_2007
PERMEN_KEU_50PMK0102019_2019,Peraturan_Pemerintah_No.63_Tahun_2019
KEPMEN_KOOREK_KEP45MEKON082007_2007,Perpres Nomor 31 Tahun 2021
KEPMEN_KOOREK_KEP45MEKON082007_2007,Keputusan_Presiden_No.117_Tahun_1999
KEPMEN_KOOREK_KEP45MEKON082007_2007,Keputusan_Presiden_No.28_Tahun_2010
KEPMEN_KOOREK_KEP45MEKON082007_2007,Inpres_11_2011
KEPMGK_INVBKPM_33SK1998_1998,Keputusan_Presiden_No.121_Tahun_1999
KEPMGK_INVBKPM_33SK1998_1998,Keputusan_Presiden_No.117_Tahun_1999
KEPMGK_INVBKPM_38SK1999_1999,Keppres0541993
KEPMGK_INVBKPM_38SK1999_1999,Keputusan_Presiden_No.121_Tahun_1999
KEPMGK_INVBKPM_38SK1999_1999,Keputusan_Presiden_No.37_Tahun_1970
KEPMGK_INVBKPM_38SK1999_1999,Keputusan_Presiden_No.117_Tahun_1999
Undang-Undang_No.27_Tahun_2014,Salinan UU Nomor 9 Tahun 2020
Undang-Undang_No.22_Tahun_2006,Salinan UU Nomor 9 Tahun 2020
Undang-Undang_No.22_Tahun_2006,Undang-Undang_No.27_Tahun_2014
Undang-Undang_No.33_Tahun_2004,Undang-Undang_No.1_Tahun_2004
Peraturan_Pemerintah_No.1_Tahun_2008,Peraturan_Pemerintah_No.63_Tahun_2019
Peraturan_Pemerintah_No.8_Tahun_2007,Peraturan_Pemerintah_No.63_Tahun_2019
Peraturan_Pemerintah_No.8_Tahun_2007,Peraturan_Pemerintah_No.1_Tahun_2008
PERATURAN_PEMERINTAH_PENGGANTI_UNDANG-UNDANG_NOMOR_21_TAHUN_1960,PERATURAN_PEMERINTAH_PENGGANTI_UNDANG-UNDANG_NOMOR_7_TAHUN_1962
Peraturan_Pemerintah_No._49_Tahun_2011,Peraturan_Pemerintah_No.63_Tahun_2019
Peraturan_Pemerintah_No._49_Tahun_2011,Peraturan_Pemerintah_No.1_Tahun_2008
Peraturan_Pemerintah_No._49_Tahun_2011,Peraturan_Pemerintah_No.8_Tahun_2007
Peraturan_Pemerintah_No.18_Tahun_1983,PERATURAN_PEMERINTAH_PENGGANTI_UNDANG-UNDANG_NOMOR_21_TAHUN_1960
Peraturan_Pemerintah_No.30_Tahun_1982,PERATURAN_PEMERINTAH_PENGGANTI_UNDANG-UNDANG_NOMOR_21_TAHUN_1960
Peraturan_Pemerintah_No.30_Tahun_1982,Peraturan_Pemerintah_No.18_Tahun_1983
Peraturan_Pemerintah_No.53_Tahun_2018,Peraturan_Pemerintah_No.99_Tahun_2013
PP_55_2015,Peraturan_Pemerintah_No.99_Tahun_2013
PP_55_2015,Peraturan_Pemerintah_No.53_Tahun_2018
Peraturan_Pemerintah_No.28_Tahun_1984,Peraturan_Pemerintah_No.18_Tahun_1983
Peraturan_Pemerintah_No.28_Tahun_1984,Peraturan_Pemerintah_No.30_Tahun_1982
PP Nomor 93 Tahun 2021,2021pp049
Peraturan_Pemerintah_No.73_Tahun_2016,Peraturan_Pemerintah_No.99_Tahun_2013
Peraturan_Pemerintah_No.73_Tahun_2016,Peraturan_Pemerintah_No.53_Tahun_2018
Peraturan_Pemerintah_No.73_Tahun_2016,PP_55_2015
PP_27_1985,Peraturan_Pemerintah_No.18_Tahun_1983
PP_27_1985,Peraturan_Pemerintah_No.30_Tahun_1982
PP_27_1985,Peraturan_Pemerintah_No.28_Tahun_1984
Peraturan_Pemerintah_No.54_Tahun_1993,Peraturan_Pemerintah_No.75_Tahun_1992
Peraturan_Pemerintah_No.33_Tahun_1993,Peraturan_Pemerintah_No.75_Tahun_1992
Peraturan_Pemerintah_No.33_Tahun_1993,Peraturan_Pemerintah_No.54_Tahun_1993
Peraturan_Pemerintah_No.40_Tahun_2000,Peraturan_Pemerintah_No.75_Tahun_1992
Peraturan_Pemerintah_No.40_Tahun_2000,Peraturan_Pemerintah_No.54_Tahun_1993
Peraturan_Pemerintah_No.40_Tahun_2000,Peraturan_Pemerintah_No.33_Tahun_1993
Salinan Perpres Nomor 71 Tahun 2019,Peraturan_Presiden_No.71_Tahun_2019
Keppres0541993,PERPRES_49_2011
Keputusan_Presiden_No.121_Tahun_1999,Keppres0541993
Keputusan_Presiden_No.176_Tahun_2000,Keputusan_Presiden_No.108_Tahun_2001
Keputusan_Presiden_No.37_Tahun_1970,Keppres0541993
Keputusan_Presiden_No.37_Tahun_1970,Keputusan_Presiden_No.121_Tahun_1999
Keputusan_Presiden_No.12_Tahun_2006,PERPRES_49_2011
Keppres Nomor 11 Tahun 2021,Perpres Nomor 31 Tahun 2021
Keputusan_Presiden_No.117_Tahun_1999,Keputusan_Presiden_No.121_Tahun_1999
Inpres No 6 Tahun 2014,Inpres_11_2011
KEPMEN_KOOREK_KEP45MEKON082007_2007,KEPMENKO_KOOREK_KEP23MEKON042008_2008
KEPMEN_KEU_509KMK062002_2002,KEPMEN_KEU_511KMK062002_2002
1_PMK.05_2021,PERMEN_KEU_103PMK052019_2019
